,index,Player,G,GS,MP,PTS,AST,TRB,ORB,DRB,STL,BLK,TOV,PF,FGA,FG,3PA,3P,FTA,FT,FG%,3P%,FT%,eFG%,Rk,Age,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
459,459,Quenton Jackson,28.0,7.0,13.6,5.8,1.9,1.6,0.5,1.1,0.8,0.2,0.6,1.5,4.4,2.1,1.4,0.5,1.4,1.1,0.475,0.375,0.775,0.537,408.0,26.0,14.7,0.58,0.328,0.328,4.1,8.7,6.4,18.6,2.6,1.2,10.3,17.7,0.6,0.4,1.0,0.126,-1.2,0.8,-0.3,0.2
460,460,Quincy Olivari,2.0,0.0,5.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.5,0.5,2.5,0.5,0.0,0.0,0.2,0.2,0.0,0.3,559.0,23.0,-5.2,0.3,1.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,16.7,26.3,-0.1,0.0,-0.1,-0.3,-10.1,-8.5,-18.6,0.0
461,461,Quinten Post,42.0,14.0,16.3,8.1,1.3,3.5,0.8,2.7,0.4,0.4,0.8,2.0,6.5,2.9,4.3,1.7,0.6,0.5,0.449,0.408,0.778,0.582,328.0,24.0,14.2,0.595,0.653,0.099,5.3,18.3,11.6,12.2,1.1,2.5,10.3,19.6,0.8,0.9,1.7,0.116,0.1,0.0,0.1,0.4
462,462,RJ Barrett,58.0,58.0,32.2,21.1,5.4,6.3,1.1,5.3,0.8,0.3,2.8,2.4,16.9,7.9,5.3,1.8,5.4,3.4,0.468,0.35,0.63,0.523,114.0,24.0,16.5,0.547,0.312,0.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,0.6,1.7,2.4,0.061,1.2,-0.7,0.6,1.2
463,463,RayJ Dennis,11.0,0.0,6.4,2.7,1.3,1.1,0.2,0.9,0.6,0.2,0.5,0.6,3.0,1.0,1.9,0.5,0.2,0.2,0.333,0.286,1.0,0.424,510.0,23.0,13.9,0.443,0.636,0.061,3.2,15.8,9.6,26.9,4.8,2.6,12.9,24.0,-0.1,0.1,0.1,0.036,-2.2,3.0,0.7,0.0
464,464,Rayan Rupert,52.0,0.0,8.8,3.0,0.5,1.3,0.5,0.8,0.3,0.1,0.6,0.7,2.7,1.1,1.1,0.3,0.6,0.4,0.408,0.271,0.767,0.465,387.0,20.0,8.1,0.499,0.415,0.211,6.0,10.6,8.2,7.6,1.7,0.8,16.2,16.8,-0.3,0.4,0.1,0.007,-4.1,-0.6,-4.7,-0.3
465,465,Reece Beekman,36.0,4.0,15.7,3.7,2.3,1.6,0.9,0.8,1.4,0.1,0.6,1.5,3.6,1.5,1.2,0.2,0.6,0.5,0.6605,0.175,0.762,0.677,383.0,23.0,19.0,0.5983333333333333,0.25033333333333335,0.13133333333333333,10.633333333333335,4.433333333333334,7.599999999999999,26.633333333333336,6.366666666666666,0.26666666666666666,10.233333333333334,12.033333333333333,-0.26666666666666666,0.3333333333333333,0.06666666666666667,0.20433333333333334,-1.2333333333333332,6.2,5.000000000000001,-0.26666666666666666
466,466,Reed Sheppard,52.0,3.0,12.6,4.4,1.4,1.5,0.3,1.2,0.7,0.3,0.7,1.0,4.6,1.6,2.7,0.9,0.3,0.3,0.351,0.338,0.813,0.452,336.0,20.0,9.7,0.465,0.594,0.067,2.6,10.3,6.4,15.2,2.6,2.3,13.1,17.8,-0.3,1.0,0.8,0.055,-3.0,1.3,-1.7,0.1
467,467,Reggie Jackson,31.0,1.0,12.4,4.4,1.5,1.4,0.3,1.1,0.5,0.1,0.5,1.1,4.3,1.7,2.4,0.8,0.3,0.2,0.391,0.338,0.778,0.485,406.0,34.0,9.8,0.496,0.556,0.068,2.3,10.4,6.2,17.1,2.1,0.8,11.0,17.5,0.0,0.2,0.1,0.015,-3.2,-0.8,-4.0,-0.2
468,468,Richaun Holmes,31.0,7.0,17.2,7.4,1.4,5.7,2.0,3.7,0.3,0.7,0.7,1.6,4.5,2.9,0.1,0.0,1.9,1.6,0.647,0.0,0.833,0.647,364.0,31.0,19.8,0.695,0.022,0.432,12.0,22.5,17.2,12.1,0.8,3.9,11.3,14.7,1.6,0.4,2.0,0.178,1.2,0.0,1.1,0.4
