,index,Player,G,GS,MP,PTS,AST,TRB,ORB,DRB,STL,BLK,TOV,PF,FGA,FG,3PA,3P,FTA,FT,FG%,3P%,FT%,eFG%,Rk,Age,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
506,506,Taurean Prince,80.0,73.0,27.1,8.2,1.9,3.6,0.4,3.2,1.0,0.2,1.0,2.1,6.4,2.9,4.2,1.8,0.6,0.5,0.457,0.439,0.813,0.6,64.0,30.0,9.8,0.613,0.652,0.093,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,1.3,2.2,3.5,0.077,-2.0,0.3,-1.7,0.1
507,507,Taylor Hendricks,3.0,3.0,25.0,4.7,0.7,5.0,1.7,3.3,1.7,1.3,0.7,2.7,6.0,1.3,4.0,1.0,1.3,1.0,0.222,0.25,0.75,0.306,507.0,21.0,7.1,0.354,0.667,0.222,7.2,14.3,10.8,3.4,3.2,5.0,9.2,12.1,-0.1,0.1,0.0,-0.008,-4.8,1.3,-3.5,0.0
508,508,Taze Moore,2.0,0.0,10.0,3.0,0.5,4.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0,0.5,1.0,0.5,0.2,0.25,0.5,0.25,549.0,26.0,7.1,0.276,0.4,0.2,21.1,22.3,21.7,6.8,4.9,0.0,15.5,26.8,-0.1,0.0,-0.1,-0.15,-3.9,-0.4,-4.3,0.0
509,509,Terance Mann,67.0,13.0,42.5,15.8,3.7,6.0,2.1,3.9,1.4,0.4,1.4,3.8,12.6,6.3,4.9,1.8,2.1,1.4,0.49350000000000005,0.3665,0.6930000000000001,0.5660000000000001,193.0,28.0,12.066666666666668,0.582,0.3946666666666667,0.16466666666666666,5.3,10.333333333333334,7.833333333333333,11.700000000000001,1.5999999999999999,1.0,9.633333333333333,14.700000000000001,1.1333333333333333,0.8666666666666667,2.0,0.10166666666666667,-1.3333333333333333,0.0,-1.3,0.13333333333333333
510,510,Terence Davis,1.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,27.0,-4.0,0.0,0.5,0.0,0.0,14.0,7.0,14.1,0.0,0.0,0.0,10.8,0.0,0.0,0.0,-0.191,-12.8,-4.1,-16.9,0.0
511,511,Terrence Shannon Jr.,32.0,1.0,10.6,4.3,1.0,1.5,0.3,1.2,0.2,0.2,0.5,0.8,3.6,1.7,1.0,0.3,0.7,0.5,0.482,0.355,0.81,0.531,419.0,24.0,11.9,0.56,0.272,0.184,3.3,11.9,7.7,13.8,1.0,1.4,10.9,17.7,0.3,0.4,0.6,0.091,-2.1,0.0,-2.1,0.0
512,512,Terry Rozier,64.0,23.0,25.9,10.6,2.6,3.7,0.7,3.0,0.6,0.2,1.2,1.1,9.9,3.9,4.8,1.4,1.7,1.4,0.391,0.295,0.852,0.462,154.0,30.0,10.5,0.497,0.485,0.17,3.0,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1.0,0.029,-2.6,-1.0,-3.7,-0.7
513,513,Terry Taylor,3.0,0.0,2.0,0.0,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,25.0,9.8,0.0,0.0,0.0,18.6,0.0,9.3,37.6,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.049,3.2,0.1,3.3,0.0
514,514,Thomas Bryant,66.0,8.0,26.6,11.0,1.3,7.1,2.0,5.1,0.6,1.5,0.7,2.1,8.0,3.9000000000000004,4.0,1.4,2.0,1.9000000000000001,0.472,0.33699999999999997,0.915,0.5615,276.0,27.0,16.8,0.617,0.505,0.25766666666666665,8.566666666666666,20.833333333333332,14.766666666666666,6.8,1.0999999999999999,4.933333333333334,7.233333333333333,16.033333333333335,1.2,0.7999999999999999,2.033333333333333,0.15766666666666665,0.16666666666666663,0.30000000000000004,0.4333333333333333,0.4333333333333333
515,515,Tidjane Salaün,60.0,10.0,20.7,5.9,1.2,4.7,1.2,3.5,0.5,0.2,1.0,1.4,5.8,1.9,3.4,1.0,1.6,1.1,0.33,0.283,0.713,0.414,224.0,19.0,7.7,0.457,0.594,0.272,5.9,18.4,12.0,8.5,1.1,1.1,13.1,15.2,-0.9,0.9,0.0,0.002,-4.3,-0.8,-5.2,-1.0
516,516,Tim Hardaway Jr.,77.0,77.0,28.0,11.0,1.6,2.4,0.2,2.1,0.5,0.1,0.6,1.2,8.8,3.6,5.9,2.2,1.9,1.6,0.406,0.368,0.855,0.529,68.0,32.0,9.8,0.567,0.672,0.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,2.1,1.4,3.5,0.077,-1.1,-0.9,-2.1,0.0
517,517,Tobias Harris,73.0,73.0,31.6,13.7,2.2,5.9,0.9,5.0,1.0,0.8,1.2,1.9,11.0,5.3,3.6,1.2,2.3,2.0,0.477,0.345,0.861,0.534,38.0,32.0,13.9,0.571,0.328,0.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,0.108,-0.5,0.6,0.1,1.2
518,518,Tolu Smith,1.0,0.0,22.0,14.0,0.0,8.0,4.0,4.0,0.0,0.0,2.0,3.0,9.0,6.0,0.0,0.0,3.0,2.0,0.667,0.0,0.667,0.667,546.0,24.0,19.5,0.678,0.0,0.333,20.3,20.0,20.1,0.0,0.0,0.0,16.2,23.6,0.0,0.0,0.1,0.128,-2.4,-6.5,-8.9,0.0
519,519,Tony Bradley,14.0,0.0,8.1,4.4,0.4,3.0,1.3,1.7,0.1,0.6,0.4,0.8,3.2,2.1,0.2,0.1,0.4,0.1,0.644,0.333,0.333,0.656,490.0,27.0,23.2,0.64,0.067,0.133,17.9,23.5,20.7,8.3,0.9,7.2,9.5,20.1,0.3,0.2,0.4,0.187,1.5,-0.3,1.2,0.1
520,520,Torrey Craig,26.0,4.0,24.4,9.600000000000001,1.2999999999999998,5.6,2.0,3.5999999999999996,0.6000000000000001,0.7,0.5,2.8,7.6,3.3,5.7,2.2,0.9,0.6,0.4225,0.3595,0.6875,0.556,427.0,34.0,13.533333333333331,0.568,0.7333333333333334,0.13333333333333333,9.066666666666668,15.566666666666668,12.366666666666667,7.033333333333334,1.2,3.133333333333333,7.3,14.566666666666668,0.26666666666666666,0.26666666666666666,0.5333333333333333,0.12966666666666668,-0.3333333333333333,-0.10000000000000002,-0.4333333333333334,0.06666666666666667
521,521,Tosan Evbuomwan,28.0,0.0,23.8,9.5,2.0,4.3,1.1,3.1,0.9,0.4,1.4,2.0,7.9,3.4,2.8,0.9,2.6,2.0,0.427,0.312,0.753,0.482,333.0,23.0,11.6,0.53,0.35,0.332,5.2,15.8,10.2,12.9,1.8,1.5,13.4,19.1,0.0,0.6,0.6,0.044,-3.0,-0.3,-3.2,-0.2
522,522,Toumani Camara,78.0,78.0,32.7,11.3,2.2,5.8,2.2,3.6,1.5,0.6,1.4,2.9,9.2,4.2,4.6,1.7,1.6,1.2,0.458,0.375,0.722,0.552,24.0,24.0,12.5,0.572,0.503,0.176,7.2,12.1,9.6,9.6,2.2,1.8,12.4,14.4,2.5,2.6,5.2,0.097,-0.9,0.8,-0.1,1.2
523,523,Trae Young,76.0,76.0,36.0,24.2,11.6,3.1,0.5,2.6,1.2,0.2,4.7,1.9,18.1,7.4,8.4,2.9,7.4,6.5,0.411,0.34,0.875,0.491,7.0,26.0,18.3,0.567,0.467,0.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7
524,524,Trayce Jackson-Davis,62.0,37.0,15.6,6.6,1.7,5.0,2.0,3.0,0.4,0.6,0.7,1.2,4.9,2.8,0.0,0.0,1.6,1.0,0.576,0.0,0.578,0.576,275.0,24.0,18.5,0.587,0.01,0.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8
525,525,Tre Jones,46.0,9.0,41.400000000000006,15.9,8.600000000000001,5.300000000000001,1.4,3.8,1.7000000000000002,0.5,1.6,2.4,11.399999999999999,6.199999999999999,2.1,0.8999999999999999,3.0999999999999996,2.6,0.528,0.404,0.8200000000000001,0.5685,288.0,25.0,16.3,0.612,0.21133333333333335,0.29033333333333333,3.6999999999999997,9.9,6.8,28.600000000000005,1.8999999999999997,1.0,11.966666666666669,14.1,1.5666666666666664,0.43333333333333335,1.9333333333333333,0.15466666666666665,0.46666666666666673,1.0333333333333334,1.5,0.5333333333333333
526,526,Tre Mann,13.0,0.0,24.5,14.1,3.0,2.9,0.9,2.0,0.5,0.3,1.9,1.8,12.4,5.4,4.6,1.8,1.6,1.5,0.435,0.4,0.905,0.509,425.0,23.0,13.3,0.537,0.373,0.13,3.9,8.9,6.3,21.2,1.1,1.2,12.8,26.0,0.0,0.1,0.1,0.019,-0.6,-1.9,-2.4,0.0
527,527,Trendon Watford,44.0,6.0,20.8,10.2,2.6,3.6,0.8,2.8,0.6,0.3,1.9,2.2,8.0,3.7,2.0,0.7,2.8,2.1,0.469,0.33,0.762,0.51,283.0,24.0,13.0,0.557,0.251,0.349,4.4,16.0,9.9,21.0,1.5,1.3,17.1,23.3,0.0,0.8,0.7,0.038,-2.3,-0.8,-3.1,-0.3
528,528,Trentyn Flowers,6.0,0.0,4.5,1.8,0.0,0.7,0.2,0.5,0.0,0.0,0.2,0.7,1.8,0.7,0.3,0.0,0.5,0.5,0.364,0.0,1.0,0.364,542.0,19.0,4.3,0.446,0.182,0.273,4.3,12.4,8.4,0.0,0.0,0.0,7.5,21.5,0.0,0.0,0.0,-0.033,-7.1,-1.3,-8.3,0.0
529,529,Trevelin Queen,31.0,2.0,13.9,4.9,1.2,1.7,0.8,0.9,1.0,0.3,0.7,1.2,4.7,1.8,2.5,0.7,0.7,0.6,0.381,0.286,0.857,0.456,393.0,27.0,11.9,0.486,0.524,0.143,6.6,7.9,7.2,13.3,3.6,2.2,12.3,18.1,-0.1,0.8,0.7,0.074,-2.6,2.3,-0.3,0.2
530,530,Trey Alexander,24.0,0.0,4.9,1.3,0.5,0.5,0.0,0.5,0.1,0.0,0.2,0.4,1.7,0.5,0.7,0.1,0.2,0.1,0.317,0.176,0.75,0.354,487.0,21.0,2.9,0.374,0.415,0.098,1.0,9.8,5.6,11.4,0.8,0.8,10.5,17.3,-0.2,0.0,-0.2,-0.077,-7.9,-1.8,-9.7,-0.2
531,531,Trey Jemison,38.0,0.0,20.700000000000003,5.0,0.8999999999999999,5.6,2.4,3.2,0.5,0.8,1.2,3.5999999999999996,3.9,2.1,0.0,0.0,1.8,0.7,0.544,0.0,0.399,0.544,405.0,25.0,8.966666666666667,0.5336666666666666,0.0,0.4626666666666666,12.533333333333333,16.900000000000002,14.766666666666666,5.7,1.1666666666666667,3.6,21.2,12.433333333333332,-0.03333333333333333,0.19999999999999998,0.19999999999999998,0.034333333333333334,-6.266666666666667,-0.5,-6.766666666666667,-0.3333333333333333
532,532,Trey Lyles,69.0,5.0,19.6,6.5,1.2,4.6,1.2,3.4,0.6,0.3,0.6,1.2,5.4,2.3,3.4,1.2,1.2,0.8,0.42,0.34,0.7,0.528,205.0,29.0,12.3,0.551,0.636,0.214,6.6,19.6,13.1,7.9,1.5,1.7,8.7,14.3,1.3,1.2,2.6,0.091,-0.4,-0.3,-0.7,0.4
533,533,Trey Murphy III,53.0,51.0,35.0,21.2,3.5,5.1,0.9,4.2,1.1,0.7,1.9,2.1,15.8,7.2,8.3,3.0,4.3,3.8,0.454,0.361,0.887,0.548,116.0,24.0,17.3,0.598,0.522,0.274,2.7,13.2,7.8,15.9,1.5,2.0,9.9,23.7,3.0,0.5,3.5,0.091,2.1,-1.4,0.8,1.3
534,534,Tristan Da Silva,74.0,38.0,22.0,7.2,1.5,3.3,1.0,2.3,0.4,0.2,0.8,1.3,6.5,2.7,3.2,1.1,0.9,0.7,0.412,0.335,0.873,0.495,157.0,23.0,9.9,0.522,0.495,0.13,4.9,12.7,8.6,10.3,1.0,1.1,9.9,15.2,0.5,1.9,2.5,0.073,-2.3,-0.3,-2.6,-0.3
535,535,Tristan Thompson,40.0,0.0,8.2,1.7,0.6,3.4,0.8,2.6,0.1,0.3,0.4,0.9,1.8,0.8,0.1,0.0,0.8,0.2,0.437,0.0,0.233,0.437,421.0,33.0,9.1,0.41,0.042,0.423,10.9,32.7,22.1,8.8,0.3,3.0,14.3,12.7,-0.2,0.5,0.4,0.057,-4.9,0.3,-4.6,-0.2
536,536,Tristan Vukcevic,35.0,1.0,14.7,9.4,1.1,3.7,0.7,3.0,0.3,0.7,1.2,1.6,6.9,3.4,2.9,1.1,1.9,1.5,0.496,0.373,0.776,0.574,371.0,21.0,17.8,0.608,0.421,0.277,5.2,21.2,13.2,13.0,1.0,4.0,13.4,25.7,0.3,0.4,0.7,0.069,0.4,-0.9,-0.5,0.2
537,537,Tristen Newton,8.0,0.0,4.300000000000001,0.6,0.5,1.3,0.7,0.7,0.3,0.0,0.5,1.1,1.9,0.2,0.6,0.0,0.2,0.2,0.0835,0.0,1.0,0.0835,553.0,23.0,-6.1000000000000005,0.137,0.2916666666666667,0.09733333333333334,14.1,13.633333333333333,13.866666666666667,15.4,3.1,0.0,21.96666666666667,28.200000000000003,-0.06666666666666667,0.0,-0.06666666666666667,-0.33,-16.666666666666668,-4.033333333333334,-20.700000000000003,-0.06666666666666667
538,538,Ty Jerome,70.0,3.0,19.9,12.5,3.4,2.5,0.7,1.8,1.1,0.0,1.3,1.5,8.8,4.6,3.6,1.6,2.1,1.8,0.516,0.439,0.872,0.606,197.0,27.0,21.0,0.643,0.409,0.239,4.0,9.3,6.7,24.5,2.7,0.2,11.9,23.6,4.2,1.8,5.9,0.204,3.5,0.8,4.3,2.2
539,539,TyTy Washington Jr.,16.0,0.0,7.4,2.2,1.0,0.8,0.3,0.6,0.2,0.0,0.2,0.3,2.8,0.9,1.3,0.3,0.4,0.2,0.311,0.19,0.5,0.356,486.0,23.0,6.5,0.367,0.467,0.133,3.9,8.3,6.1,18.5,1.3,0.0,5.9,19.0,-0.2,0.0,-0.2,-0.065,-5.6,-2.5,-8.0,-0.2
540,540,Tyler Herro,77.0,77.0,35.4,23.9,5.5,5.2,0.5,4.7,0.9,0.2,2.6,1.1,17.9,8.5,8.7,3.3,4.2,3.7,0.472,0.375,0.878,0.563,8.0,25.0,19.7,0.605,0.486,0.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28.0,4.7,2.7,7.4,0.131,3.8,-0.7,3.1,3.5
541,541,Tyler Kolek,41.0,0.0,7.2,2.0,1.7,0.7,0.2,0.5,0.3,0.1,0.4,0.6,2.0,0.7,1.1,0.3,0.4,0.3,0.329,0.298,0.765,0.415,431.0,23.0,10.3,0.453,0.573,0.207,3.1,7.3,5.2,29.5,2.0,1.3,16.7,15.8,0.1,0.3,0.4,0.058,-2.6,-0.3,-2.8,-0.1
542,542,Tyler Smith,23.0,0.0,5.3,2.9,0.2,1.1,0.3,0.8,0.1,0.2,0.3,0.5,2.2,1.0,1.3,0.6,0.3,0.3,0.48,0.433,0.75,0.61,483.0,20.0,15.2,0.626,0.6,0.16,5.6,16.3,11.1,4.9,1.2,3.1,13.0,22.1,0.1,0.1,0.2,0.083,0.4,-1.2,-0.9,0.0
543,543,Tyrese Haliburton,73.0,73.0,33.6,18.6,9.2,3.5,0.6,3.0,1.4,0.7,1.6,1.3,13.8,6.5,7.7,3.0,3.0,2.6,0.473,0.388,0.851,0.582,30.0,24.0,21.8,0.616,0.559,0.221,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9
544,544,Tyrese Martin,60.0,11.0,21.9,8.7,2.0,3.7,1.0,2.7,0.6,0.2,1.2,1.3,7.8,3.2,4.7,1.7,1.0,0.8,0.406,0.351,0.793,0.513,213.0,25.0,10.9,0.533,0.606,0.125,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,0.0,0.9,0.9,0.033,-1.4,-1.2,-2.6,-0.2
545,545,Tyrese Maxey,52.0,52.0,37.7,26.3,6.1,3.3,0.3,3.1,1.8,0.4,2.4,2.2,21.0,9.2,9.2,3.1,5.6,4.9,0.437,0.337,0.879,0.511,95.0,24.0,19.5,0.562,0.438,0.265,0.8,9.6,5.0,28.0,2.3,1.1,9.2,29.8,2.9,1.0,3.8,0.094,3.2,-1.1,2.0,2.0
546,546,Tyson Etienne,7.0,0.0,21.6,7.9,1.7,1.3,0.4,0.9,0.4,0.1,1.1,2.4,7.4,2.4,6.3,1.9,1.4,1.1,0.327,0.295,0.8,0.452,470.0,25.0,5.6,0.488,0.846,0.192,2.2,4.7,3.4,11.9,1.0,0.7,12.4,18.6,-0.1,0.1,-0.1,-0.021,-5.7,-3.1,-8.8,-0.3
547,547,Tyus Jones,81.0,58.0,26.8,10.2,5.3,2.4,0.5,1.9,0.9,0.1,1.1,0.8,8.4,3.8,5.0,2.0,0.7,0.6,0.448,0.414,0.895,0.57,61.0,28.0,14.5,0.585,0.587,0.083,2.1,7.8,5.0,27.7,1.6,0.3,11.4,16.2,4.0,0.3,4.4,0.096,1.4,-1.3,0.1,1.1
548,548,Ulrich Chomche,7.0,0.0,4.6,0.7,0.3,1.1,0.6,0.6,0.0,0.1,0.3,0.7,0.7,0.3,0.0,0.0,0.3,0.1,0.4,0.0,0.5,0.4,538.0,19.0,5.2,0.425,0.0,0.4,13.1,13.7,13.4,7.8,0.0,3.0,25.4,10.3,0.0,0.0,0.0,0.001,-6.1,-1.3,-7.4,0.0
549,549,Vasilije Micić,41.0,16.0,25.4,7.5,3.7,2.8,0.6,2.3,0.4,0.0,2.7,1.4,7.6,2.6,3.5,1.3,1.1,0.9,0.348,0.36,0.829,0.43,308.0,31.0,2.6999999999999997,0.462,0.458,0.15,1.8,9.833333333333334,5.8,18.233333333333334,0.6333333333333333,0.0,47.06666666666666,15.5,-0.7999999999999999,0.16666666666666666,-0.6666666666666666,-0.10166666666666667,-6.566666666666666,-2.9666666666666663,-9.533333333333333,-0.6666666666666666
550,550,Victor Wembanyama,46.0,46.0,33.2,24.3,3.7,11.0,1.8,9.2,1.1,3.8,3.2,2.3,18.6,8.9,8.8,3.1,4.1,3.4,0.476,0.352,0.836,0.559,172.0,21.0,24.2,0.594,0.47,0.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,1.0,2.8,3.8,0.118,3.6,2.9,6.5,3.3
551,551,Vince Williams Jr.,27.0,5.0,18.5,6.6,2.0,3.6,0.8,2.8,0.4,0.3,1.2,1.7,6.2,2.5,3.5,1.0,0.9,0.7,0.401,0.274,0.792,0.479,376.0,24.0,9.2,0.504,0.569,0.144,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17.0,-0.1,0.5,0.4,0.04,-2.5,-0.3,-2.8,-0.1
552,552,Vit Krejci,57.0,16.0,20.2,7.2,2.6,2.7,0.4,2.4,0.6,0.5,0.9,1.8,5.1,2.5,3.6,1.6,0.8,0.6,0.497,0.437,0.711,0.651,245.0,24.0,12.7,0.661,0.705,0.154,2.0,13.1,7.4,16.5,1.5,2.1,13.8,12.9,1.8,0.8,2.6,0.11,0.0,0.7,0.7,0.8
553,553,Vlatko Čančar,13.0,0.0,10.5,1.8,0.7,2.5,0.5,2.0,0.2,0.2,0.8,0.8,2.0,0.8,1.2,0.3,0.0,0.0,0.385,0.267,0.0,0.462,478.0,27.0,4.6,0.462,0.577,0.0,5.1,20.0,12.9,7.7,1.1,1.3,29.7,11.5,-0.2,0.1,-0.1,-0.034,-6.5,-0.6,-7.1,-0.2
554,554,Walker Kessler,58.0,58.0,30.0,11.1,1.7,12.2,4.6,7.6,0.6,2.4,1.5,2.2,7.2,4.8,0.6,0.1,2.6,1.4,0.663,0.176,0.52,0.671,140.0,23.0,20.0,0.66,0.081,0.363,16.6,27.1,21.9,8.3,1.0,7.4,15.0,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7
555,555,Wendell Carter Jr.,68.0,51.0,25.9,9.1,2.0,7.2,2.2,5.0,0.8,0.6,1.1,2.9,7.2,3.3,2.3,0.5,2.6,1.9,0.46,0.234,0.737,0.498,134.0,25.0,13.7,0.544,0.322,0.356,9.4,23.4,16.0,11.5,1.5,2.2,11.9,16.0,1.6,3.0,4.6,0.125,-2.2,0.9,-1.2,0.3
556,556,Wendell Moore Jr.,36.0,1.0,28.5,8.600000000000001,2.4,5.4,1.7999999999999998,3.7,1.1,0.30000000000000004,1.6,1.8,7.3,3.5,2.4,0.8,1.2,1.0,0.46699999999999997,0.32799999999999996,0.777,0.5195000000000001,377.0,23.0,11.133333333333333,0.5536666666666666,0.32,0.18666666666666668,6.366666666666667,14.433333333333335,10.366666666666667,11.766666666666666,1.9666666666666668,1.0,16.3,13.733333333333334,0.10000000000000002,0.3333333333333333,0.43333333333333335,0.067,-2.5,0.03333333333333329,-2.466666666666667,-0.06666666666666667
557,557,Xavier Tillman Sr.,33.0,2.0,7.0,1.0,0.2,1.3,0.3,1.0,0.3,0.2,0.4,0.5,1.6,0.4,1.0,0.2,0.1,0.1,0.245,0.156,0.75,0.292,450.0,26.0,2.4,0.31,0.604,0.075,4.7,15.5,10.1,3.8,2.4,2.0,20.4,13.1,-0.7,0.4,-0.3,-0.057,-8.4,0.3,-8.1,-0.4
558,558,Yuki Kawamura,22.0,0.0,4.2,1.6,0.9,0.5,0.0,0.5,0.1,0.0,0.2,0.4,1.4,0.5,1.0,0.3,0.4,0.3,0.367,0.304,0.778,0.483,498.0,23.0,11.0,0.53,0.767,0.3,0.0,13.5,6.8,25.1,1.0,0.0,12.8,16.9,0.1,0.1,0.2,0.095,-2.6,-0.2,-2.8,0.0
559,559,Yuri Collins,2.0,0.0,8.0,1.0,2.0,1.5,1.0,0.5,1.0,0.0,0.0,2.5,1.5,0.5,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,552.0,23.0,13.9,0.333,0.0,0.0,13.1,6.9,10.1,31.9,6.1,0.0,0.0,7.9,0.0,0.0,0.1,0.214,-6.2,6.5,0.3,0.0
560,560,Yves Missi,73.0,67.0,26.8,9.1,1.4,8.2,3.5,4.7,0.5,1.3,1.1,2.0,6.7,3.7,0.0,0.0,2.8,1.7,0.547,0.0,0.623,0.547,97.0,20.0,15.4,0.572,0.002,0.415,13.7,19.7,16.6,7.2,0.9,4.8,12.4,14.3,2.5,1.1,3.6,0.089,-1.6,-1.4,-3.0,-0.5
561,561,Zaccharie Risacher,75.0,73.0,24.6,12.6,1.2,3.6,1.1,2.4,0.7,0.5,1.2,2.0,10.4,4.8,4.6,1.6,2.0,1.4,0.458,0.355,0.711,0.537,117.0,19.0,12.2,0.558,0.442,0.191,5.0,11.1,8.0,7.1,1.3,1.8,9.8,20.9,0.6,1.1,1.8,0.046,-1.7,-1.8,-3.5,-0.7
562,562,Zach Collins,64.0,12.0,31.5,13.2,3.5,9.5,3.4,6.2,0.9,0.9,1.9,4.1,9.8,5.0,3.4000000000000004,1.0,2.5,2.3,0.5015000000000001,0.302,0.885,0.5545,274.0,27.0,15.866666666666667,0.602,0.3506666666666667,0.25866666666666666,11.033333333333333,19.599999999999998,15.366666666666667,15.700000000000001,1.4333333333333333,2.6666666666666665,15.0,17.1,1.1333333333333333,0.6666666666666666,1.8,0.13033333333333333,-0.8333333333333334,0.8333333333333334,0.0,0.3333333333333333
563,563,Zach Edey,66.0,55.0,21.5,9.2,1.0,8.3,3.5,4.8,0.5,1.3,1.3,2.8,6.6,3.8,0.8,0.3,1.9,1.4,0.58,0.346,0.709,0.6,191.0,22.0,18.2,0.624,0.12,0.293,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,2.7,2.2,4.9,0.165,-0.2,0.1,-0.1,0.7
564,564,Zach LaVine,74.0,74.0,70.7,46.4,8.3,8.3,0.6,7.7,1.5,0.30000000000000004,5.6,3.3,32.9,16.799999999999997,14.5,6.4,7.5,6.3,0.511,0.446,0.8355,0.609,17.0,29.0,17.2,0.6393333333333334,0.43933333333333335,0.22999999999999998,0.9333333333333332,11.866666666666667,6.433333333333334,18.133333333333333,1.0666666666666667,0.39999999999999997,13.4,25.2,2.466666666666667,0.9333333333333332,3.4,0.09366666666666668,2.2666666666666666,-1.6333333333333335,0.6333333333333333,1.2
565,565,Zeke Nnaji,57.0,4.0,10.7,3.2,0.4,1.6,0.6,1.0,0.4,0.7,0.2,1.1,2.5,1.2,0.9,0.3,0.8,0.5,0.496,0.327,0.614,0.557,346.0,24.0,12.0,0.574,0.369,0.312,6.3,9.8,8.1,4.6,2.0,5.6,8.0,12.2,0.6,0.6,1.2,0.097,-2.1,0.7,-1.3,0.1
566,566,Ziaire Williams,63.0,45.0,24.5,10.0,1.3,4.6,1.0,3.6,1.0,0.4,1.1,2.4,8.3,3.4,4.8,1.6,2.0,1.6,0.412,0.341,0.821,0.511,170.0,23.0,11.9,0.55,0.581,0.237,4.3,17.5,10.6,8.5,2.0,1.8,10.5,18.2,0.5,1.6,2.1,0.065,-2.2,-0.1,-2.3,-0.1
567,567,Zion Williamson,30.0,30.0,28.6,24.6,5.3,7.2,2.5,4.7,1.2,0.9,3.0,2.7,16.9,9.6,0.4,0.1,8.0,5.3,0.567,0.231,0.656,0.57,295.0,24.0,27.3,0.6,0.026,0.474,9.3,18.2,13.6,36.6,2.1,3.0,12.8,34.7,1.9,0.6,2.5,0.141,5.9,1.0,7.0,1.9
568,568,Zyon Pullin,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,23.0,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,-0.304,-15.0,-7.7,-22.7,0.0
